year,economy,economycode,regionwb,pop_adult,wpid_random,wgt,gender,age,education_level,income_quintile,emp_in,location,account_fin,account_mob,has_any_account,has_digital_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,any_digital_payment,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9a,fin9b,fin10,fin13_1,fin13a,fin13b,fin13c,fin13d,fin13e,fin13f,fin13f_1,fin14a,fin14b,fin14c,fin14d,fin14e,fin15,fin16,fin17a,fin17b,fin17c,fin17d,fin17e,fin17f,fin18,fin19,fin20,fin21,fin22a,fin22a_1,fin22b,fin22c,fin22d,fin22e,fin22f,fin22g,fin22h,fin23,fin24,fin24a,fin24b,fin24c,fin24d1,fin24d2,fin24d3,fin25e1,fin25e2,fin25e3,fin25e4,fin26a,fin26b,fin27,fh1,fin28,fh2,fin29,fh2a,fin30,fin31a,fin31b,fin31c,fin31d,fin32,fin33,fin34a,fin34b,fin34c,fin34d,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c,fin39d,fin40,fin41,fin42,fin43a,fin43b,fin43c,fin43d,fin44,fin45,internet_use,con1,con2a,con2b,con2c,con2d,con2e,con2f,con2g,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,con13,con14,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30a,con30b,con30c,con30d,con30e,con30f,con30g,con30h,con31a,con31b,con31c,con31d,con31e,con31f,con31g,con31h,con32,country,gender_label,location_label,has_digital_account_label,has_any_account_label,any_digital_payment_label
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,140074925,0.723252469708358,1,25,2.0,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,2,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2,1.0,2,1.0,2.0,2.0,,2,2,,2,1.0,1,,2,2,1,,,,5,1.0,4,1,1.0,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,1.0,1,1.0,2,,2,1,1.0,1.0,,,2,,,,,,,,2,2,,,,,,,1,1.0,1.0,,,2.0,5,1,1,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,195129761,0.331404980501671,1,26,2.0,4,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,2,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,1,1.0,2,2.0,2.0,2.0,,2,2,,2,2.0,1,,2,1,1,,,,3,2.0,2,1,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1,1.0,1,1.0,2,1,2.0,1.0,,,2,,,,,,,,2,2,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,1,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,196679465,1.07130226585656,1,21,2.0,3,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1,1.0,1,1.0,1.0,2.0,,2,2,,2,2.0,1,1.0,2,2,1,2.0,,,1,2.0,2,2,,,,1.0,1.0,1.0,,1.0,2.0,,1,1.0,1,1.0,2,1,2.0,1.0,,,1,2.0,1.0,1.0,,,1.0,2.0,2,2,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,148441188,0.6770049482751,1,25,2.0,5,1,1,1,1,1,1,1,1,4,4,4,4,0,1,1,1,1,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,3.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,1,1.0,1,1.0,2.0,1.0,,2,2,,2,1.0,1,1.0,1,1,1,,,,5,1.0,3,2,,,,2.0,2.0,,4.0,2.0,2.0,,1,1.0,1,1.0,2,1,2.0,1.0,,,2,,,,,,,,2,2,,,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,129624811,0.457661760599877,2,31,3.0,5,1,2,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,1,1.0,2,3.0,2.0,2.0,,1,2,,2,1.0,2,,2,1,1,,,,5,2.0,2,2,,,,1.0,1.0,1.0,,1.0,2.0,,1,1.0,1,1.0,2,1,2.0,1.0,,,2,,,,,,,,2,2,,,,,,,1,1.0,1.0,,,2.0,2,1,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1,,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,Kenya,Male,Rural,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,139198891,1.37220508795606,1,54,1.0,1,1,1,0,1,1,1,1,1,4,4,4,4,1,1,1,1,2,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,2,2.0,1,,,,,2,2,,2,2.0,1,1.0,1,2,1,,,,2,1.0,3,2,,,,1.0,1.0,1.0,,1.0,2.0,,1,1.0,1,1.0,2,1,2.0,1.0,,,2,,,,,,,,2,2,,,,,,,2,,,,,,2,0,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,2,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,125346785,1.65217636600581,1,24,2.0,2,1,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,2,1.0,2.0,1.0,3.0,,2.0,1.0,1.0,2.0,,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,1,1.0,2,2.0,2.0,2.0,,2,2,,2,2.0,1,,2,2,2,,,,2,1.0,4,2,,,,2.0,1.0,2.0,,2.0,2.0,,2,,1,1.0,2,2,,,,,1,2.0,1.0,1.0,,,2.0,2.0,2,2,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,,2.0,2,2.0,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,Kenya,Female,Urban,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,153899414,0.570480834052637,1,30,1.0,1,1,2,0,1,1,1,1,0,4,4,4,4,1,4,3,1,2,,,,,,,,,,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,2,2.0,2,,,,2.0,2,2,,2,2.0,2,,2,2,1,,,2.0,6,2.0,3,2,,,,2.0,1.0,3.0,,1.0,2.0,,2,,2,,2,2,,,,,2,,,,,,,,2,2,,,,,,,2,,,,,,5,0,1,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2,2.0,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Kenya,Female,Rural,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,189855468,1.84190184027279,1,20,2.0,4,1,2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,2,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,2,2.0,1,,,,,2,2,,2,2.0,1,2.0,2,2,1,,,,2,1.0,4,1,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,,1,1.0,1,1.0,1,1,1.0,1.0,,,1,1.0,1.0,1.0,,,1.0,2.0,1,2,1.0,1.0,,,2.0,1.0,2,,,,,,4,1,1,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,Kenya,Female,Rural,Yes,Yes,Yes
2024,Kenya,KEN,Sub-Saharan Africa (excluding high income),34616135,205161729,0.653074442447574,1,24,2.0,1,1,1,0,1,1,1,1,0,4,4,4,2,0,4,2,1,2,,,,,,,,,,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,2,2.0,2,,,,2.0,2,2,,2,2.0,1,,1,1,1,,,,1,1.0,4,1,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,,2,,1,2.0,2,2,,,,,2,,,,,,,,2,2,,,,,,,1,2.0,2.0,1.0,,2.0,4,1,1,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,Kenya,Female,Urban,Yes,Yes,Yes
